FIPS_Code,State,Area_Name,Attribute,Value
5007,AR,"Benton County, AR",Civilian_labor_force_2015,122348
5007,AR,"Benton County, AR",Employed_2015,117802
5007,AR,"Benton County, AR",Unemployed_2015,4546
5007,AR,"Benton County, AR",Unemployment_rate_2015,3.7
5007,AR,"Benton County, AR",Civilian_labor_force_2016,128130
5007,AR,"Benton County, AR",Employed_2016,124390
5007,AR,"Benton County, AR",Unemployed_2016,3740
5007,AR,"Benton County, AR",Unemployment_rate_2016,2.9
5007,AR,"Benton County, AR",Civilian_labor_force_2017,132441
5007,AR,"Benton County, AR",Employed_2017,128502
5007,AR,"Benton County, AR",Unemployed_2017,3939
5007,AR,"Benton County, AR",Unemployment_rate_2017,3
5007,AR,"Benton County, AR",Civilian_labor_force_2018,133818
5007,AR,"Benton County, AR",Employed_2018,129967
5007,AR,"Benton County, AR",Unemployed_2018,3851
5007,AR,"Benton County, AR",Unemployment_rate_2018,2.9
