county,births_2022,deaths_2022,domestic_mig_2022,gq_estimates_2022,international_mig_2022,n_pop_chg_2022,natural_chg_2022,net_mig_2022,pop_estimate_2022,r_birth_2022,r_death_2022,r_domestic_mig_2022,r_international_mig_2022,r_natural_chg_2022,r_net_mig_2022,residual_2022,civilian_labor_force_2022,employed_2022,med_hh_income_percent_of_state_total_2022,median_household_income_2022,unemployed_2022,unemployment_rate_2022,state
barrow county,1141.0,882.0,2078.0,450.0,79.0,2518.0,259.0,2157.0,89245.0,13.0,10.0,23.6,0.9,2.9,24.5,102.0,,,,,,,
"barrow county, ga",,,,,,,,,,,,,,,,,42983.0,41863.0,106.7,77583.0,1120.0,2.6,
barry county,622.0,783.0,427.0,460.0,7.0,261.0,-161.0,434.0,63402.0,9.8,12.4,6.7,0.1,-2.5,6.9,-12.0,,,,,,,
"barry county, mi",,,,,,,,,,,,,,,,,32025.0,30825.0,106.3,71173.0,1200.0,3.7,
"barry county, mo",,,,,,,,,,,,,,,,,14092.0,13692.0,77.1,49968.0,400.0,2.8,
bartholomew county,1042.0,908.0,1.0,1247.0,560.0,665.0,134.0,561.0,83394.0,12.5,10.9,0.0,6.7,1.6,6.8,-30.0,,,,,,,
"bartholomew county, in",,,,,,,,,,,,,,,,,43791.0,42729.0,103.2,68910.0,1062.0,2.4,
barton county,314.0,385.0,-142.0,537.0,16.0,-205.0,-71.0,-126.0,25058.0,12.5,15.3,-5.6,0.6,-2.8,-5.0,-8.0,,,,,,,
"barton county, ks",,,,,,,,,,,,,,,,,13116.0,12775.0,82.4,56711.0,341.0,2.6,
"barton county, mo",,,,,,,,,,,,,,,,,5159.0,5034.0,77.0,49857.0,125.0,2.4,
bartow county,1364.0,1291.0,1691.0,1020.0,71.0,1879.0,73.0,1762.0,112815.0,12.2,11.5,15.1,0.6,0.7,15.7,44.0,,,,,,,
"bartow county, ga",,,,,,,,,,,,,,,,,52182.0,50633.0,110.0,80017.0,1549.0,3.0,
bastrop county,1312.0,944.0,3522.0,2091.0,67.0,4119.0,368.0,3589.0,106395.0,12.6,9.0,33.8,0.6,3.5,34.4,162.0,,,,,,,
"bastrop county, tx",,,,,,,,,,,,,,,,,48219.0,46585.0,101.6,73403.0,1634.0,3.4,
bates county,175.0,252.0,151.0,347.0,4.0,75.0,-77.0,155.0,16170.0,10.8,15.6,9.4,0.2,-4.8,9.6,-3.0,,,,,,,
"bates county, mo",,,,,,,,,,,,,,,,,7582.0,7369.0,88.4,57291.0,213.0,2.8,
bath county,175.0,227.0,92.0,88.0,-1.0,33.0,-52.0,91.0,12828.0,13.7,17.7,7.2,-0.1,-4.1,7.1,-6.0,,,,,,,
"bath county, ky",,,,,,,,,,,,,,,,,4701.0,4450.0,81.5,48260.0,251.0,5.3,
"bath county, va",,,,,,,,,,,,,,,,,2418.0,2360.0,69.6,59763.0,58.0,2.4,
baxter county,348.0,911.0,799.0,522.0,-5.0,261.0,-563.0,794.0,42485.0,8.2,21.5,18.9,-0.1,-13.3,18.7,30.0,,,,,,,
"baxter county, ar",,,,,,,,,,,,,,,,,16365.0,15796.0,87.5,48573.0,569.0,3.5,
bay county,2119.0,2442.0,5293.0,3179.0,459.0,5690.0,-323.0,5752.0,185210.0,11.6,13.4,29.0,2.5,-1.8,31.5,261.0,,,,,,,
"bay county, fl",,,,,,,,,,,,,,,,,86867.0,84437.0,94.6,65521.0,2430.0,2.8,
"bay county, mi",,,,,,,,,,,,,,,,,48979.0,46493.0,84.3,56388.0,2486.0,5.1,
"bayamon municipio, pr",,,,,,,,,,,,,,,,,70367.0,66967.0,,,3400.0,4.8,
bayamón municipio,,,,,,,,,181501.0,,,,,,,,,,,,,,
bayfield county,112.0,192.0,397.0,53.0,1.0,337.0,-80.0,398.0,16659.0,6.8,11.6,24.1,0.1,-4.9,24.1,19.0,,,,,,,
"bayfield county, wi",,,,,,,,,,,,,,,,,7387.0,7034.0,89.6,63680.0,353.0,4.8,
baylor county,34.0,81.0,37.0,55.0,12.0,4.0,-47.0,49.0,3462.0,9.8,23.4,10.7,3.5,-13.6,14.2,2.0,,,,,,,
"baylor county, tx",,,,,,,,,,,,,,,,,1905.0,1852.0,67.9,49059.0,53.0,2.8,
beadle county,282.0,189.0,-264.0,521.0,480.0,307.0,93.0,216.0,19488.0,14.6,9.8,-13.7,24.8,4.8,11.2,-2.0,,,,,,,
"beadle county, sd",,,,,,,,,,,,,,,,,9255.0,9081.0,84.3,59508.0,174.0,1.9,
bear lake county,79.0,77.0,148.0,59.0,7.0,163.0,2.0,155.0,6730.0,11.9,11.6,22.3,1.1,0.3,23.3,6.0,,,,,,,
"bear lake county, id",,,,,,,,,,,,,,,,,2882.0,2795.0,90.9,66006.0,87.0,3.0,
beaufort county,446.0,719.0,213.0,378.0,20.0,-62.0,-273.0,233.0,44400.0,10.0,16.2,4.8,0.5,-6.1,5.2,-22.0,,,,,,,
"beaufort county, nc",,,,,,,,,,,,,,,,,19716.0,18923.0,80.6,54415.0,793.0,4.0,
"beaufort county, sc",,,,,,,,,,,,,,,,,77029.0,74636.0,130.3,83687.0,2393.0,3.1,
